,heart_rate,tidal_volume_adjusted,cadence,step,activity,NN_interval,temperature_celcius,time,Activity
0,70,0,0,1,0,0.384,34.94958381,8:59:18,go change in WC
1,70,0,0,1,0,0.399,34.94958381,8:59:19,go change in WC
2,70,0,0,1,0,0.404,34.94958381,8:59:20,go change in WC
3,70,0,0,1,0,0.391,34.97413295,8:59:21,go change in WC
4,70,0,0,1,0,0.395,34.94958381,8:59:22,go change in WC
5,70,0,0,1,0.015625,0.395,34.94958381,8:59:23,go change in WC
6,70,448,0,1,0.046875,0.4,34.94958381,8:59:24,go change in WC
7,70,448,0,1,0.0859375,0.395,34.94958381,8:59:25,go change in WC
8,70,448,0,1,0.25,0.395,34.97413295,8:59:26,go change in WC
9,120,516,0,1,0.2265625,0.4,34.94958381,8:59:27,go change in WC
10,124,435,0,2,0.234375,0.395,34.92504307,8:59:28,go change in WC
11,123,435,0,2,0.1953125,0.4,34.87598674,8:59:29,go change in WC
12,117,571,0,2,0.20703125,0.395,34.92504307,8:59:30,go change in WC
13,117,571,0,2,0.171875,0.391,34.90051072,8:59:31,go change in WC
14,117,571,0,2,0.0859375,0.399,34.92504307,8:59:32,go change in WC
15,116,1495,0,2,0.09375,0.387,34.92504307,8:59:33,go change in WC
16,116,1495,0,2,0.14453125,0.408,34.90051072,8:59:34,go change in WC
17,116,1495,0,2,0.0703125,0.403,34.92504307,8:59:35,go change in WC
18,103,2529,0,2,0.0625,0.387,34.87598674,8:59:36,go change in WC
19,110,2529,0,2,0.03515625,0.4,34.90051072,8:59:37,go change in WC
20,110,843,0,2,0.0859375,0.411,34.90051072,8:59:38,go change in WC
21,110,843,0,2,0.0625,0.408,34.90051072,8:59:39,go change in WC
22,100,843,0,2,0.0546875,0.387,34.92504307,8:59:40,go change in WC
23,100,843,0,2,0.0546875,0.395,34.87598674,8:59:41,go change in WC
24,94,843,0,2,0.08203125,0.408,34.87598674,8:59:42,go change in WC
25,94,2447,0,2,0.05859375,0.408,34.85147112,8:59:43,go change in WC
26,94,2447,0,2,0.06640625,0.387,34.85147112,8:59:44,go change in WC
27,94,707,0,2,0.09765625,0.403,34.85147112,8:59:45,go change in WC
28,92,707,0,2,0.11328125,0.4,34.85147112,8:59:46,go change in WC
29,98,693,0,2,0.12890625,0.407,34.85147112,8:59:47,go change in WC
30,93,693,0,2,0.03125,0.387,34.85147112,8:59:48,go change in WC
31,89,693,0,2,0.015625,0.404,34.82696385,8:59:49,go change in WC
32,84,2284,0,2,0.01953125,0.407,34.82696385,8:59:50,go change in WC
33,81,2284,0,2,0.015625,0.412,34.82696385,8:59:51,go change in WC
34,81,2284,0,2,0.015625,0.395,34.80246489,8:59:52,go change in WC
35,79,2284,0,2,0.015625,0.42,34.82696385,8:59:53,go change in WC
36,79,2284,0,2,0.015625,0.423,34.80246489,8:59:54,go change in WC
37,79,2284,0,2,0,0.427,34.87598674,8:59:55,go change in WC
38,79,2284,0,2,0.015625,0.423,34.82696385,8:59:56,go change in WC
39,75,2284,0,2,0.015625,0.427,34.82696385,8:59:57,go change in WC
40,77,2284,0,2,0.015625,0.423,34.80246489,8:59:58,go change in WC
41,73,2284,0,2,0.0234375,0.431,34.80246489,8:59:59,go change in WC
42,76,2284,0,2,0.0234375,0.423,34.80246489,9:00:00,go change in WC
43,79,2284,0,2,0.01953125,0.44,34.80246489,9:00:01,go change in WC
44,76,2284,0,2,0.0234375,0.435,34.80246489,9:00:02,go change in WC
45,74,2284,0,2,0.0234375,0.435,34.77797424,9:00:03,go change in WC
46,74,2284,0,2,0.03125,0.444,34.77797424,9:00:04,go change in WC
47,74,775,0,2,0.0234375,0.439,34.82696385,9:00:05,go change in WC
48,74,775,0,2,0.06640625,0.444,34.80246489,9:00:06,go change in WC
49,75,775,0,2,0.02734375,0.448,34.75349187,9:00:07,go change in WC
50,75,2080,0,2,0.08203125,0.443,34.77797424,9:00:08,go change in WC
51,75,2080,0,2,0.015625,0.444,34.77797424,9:00:09,go change in WC
52,75,2080,0,2,0,0.443,34.77797424,9:00:10,go change in WC
53,75,1482,0,2,0,0.448,34.75349187,9:00:11,go change in WC
54,75,1482,0,2,0,0.447,34.77797424,9:00:12,go change in WC
55,75,1482,0,2,0,0.448,34.75349187,9:00:13,go change in WC
56,75,951,0,2,0,0.448,34.75349187,9:00:14,go change in WC
57,75,951,0,2,0,0.456,34.75349187,9:00:15,go change in WC
58,75,951,0,2,0,0.447,34.77797424,9:00:16,go change in WC
59,73,951,0,2,0,0.456,34.75349187,9:00:17,go change in WC
60,72,870,0,2,0,0.456,34.75349187,9:00:18,go change in WC
61,71,870,0,2,0.04296875,0.46,34.70455195,9:00:19,go change in WC
62,71,911,0,2,0.03125,0.448,34.75349187,9:00:20,go change in WC
63,70,911,0,2,0.0234375,0.46,34.77797424,9:00:21,go change in WC
64,70,911,0,2,0.02734375,0.455,34.75349187,9:00:22,go change in WC
65,70,652,0,2,0.01953125,0.452,34.77797424,9:00:23,go change in WC
66,70,652,0,2,0.01953125,0.46,34.75349187,9:00:24,go change in WC
67,70,652,0,2,0.01953125,0.44,34.72901778,9:00:25,go change in WC
68,70,652,0,2,0.03515625,0.443,34.75349187,9:00:26,go change in WC
69,70,652,0,2,0.1015625,0.436,34.75349187,9:00:27,go change in WC
70,70,1400,0,2,0.02734375,0.443,34.72901778,9:00:28,go change in WC
71,70,1400,0,2,0.0546875,0.444,34.75349187,9:00:29,go change in WC
72,68,1400,0,2,0.0703125,0.439,34.75349187,9:00:30,go change in WC
73,70,1400,0,2,0.01953125,0.44,34.75349187,9:00:31,go change in WC
74,68,1400,0,2,0.015625,0.439,34.75349187,9:00:32,go change in WC
75,68,1523,0,2,0.015625,0.439,34.75349187,9:00:33,go change in WC
76,70,1523,0,2,0.0234375,0.432,34.72901778,9:00:34,go change in WC
77,68,1523,0,2,0.0234375,0.435,34.75349187,9:00:35,go change in WC
78,72,761,0,2,0.02734375,0.439,34.75349187,9:00:36,go change in WC
79,72,761,0,2,0.015625,0.444,34.75349187,9:00:37,go change in WC
80,72,734,0,2,0.015625,0.448,34.72901778,9:00:38,go change in WC
81,72,734,0,2,0.0703125,0.448,34.75349187,9:00:39,go change in WC
82,72,734,0,2,0.0859375,0.463,34.70455195,9:00:40,go change in WC
83,72,1808,0,2,0.015625,0.463,34.75349187,9:00:41,go change in WC
84,71,1808,0,2,0.015625,0.46,34.75349187,9:00:42,go change in WC
85,71,1808,0,2,0.015625,0.456,34.75349187,9:00:43,go change in WC
86,71,543,0,2,0.015625,0.463,34.75349187,9:00:44,go change in WC
87,71,543,0,2,0.015625,0.463,34.77797424,9:00:45,go change in WC
88,71,679,0,2,0.015625,0.467,34.72901778,9:00:46,go change in WC
89,71,679,0,2,0.01953125,0.456,34.75349187,9:00:47,go change in WC
90,72,679,0,2,0.0234375,0.46,34.75349187,9:00:48,go change in WC
91,73,679,0,2,0.0234375,0.46,34.75349187,9:00:49,go change in WC
92,77,679,0,2,0.01953125,0.463,34.70455195,9:00:50,go change in WC
93,79,965,0,2,0.04296875,0.46,34.75349187,9:00:51,go change in WC
94,86,965,0,2,0.11328125,0.456,34.75349187,9:00:52,go change in WC
95,92,1890,0,3,0.25390625,0.455,34.72901778,9:00:53,go change in WC
96,92,1890,0,3,0.09375,0.46,34.75349187,9:00:54,go change in WC
97,92,1890,0,3,0.02734375,0.468,34.75349187,9:00:55,go change in WC
98,92,1482,0,3,0.01953125,0.439,34.75349187,9:00:56,go change in WC
99,92,1482,0,3,0.02734375,0.46,34.75349187,9:00:57,go change in WC
100,97,870,0,3,0.0234375,0.456,34.75349187,9:00:58,go change in WC
101,97,870,0,3,0.02734375,0.46,34.75349187,9:00:59,go change in WC
102,97,870,0,3,0.02734375,0.46,34.75349187,9:01:00,go change in WC
103,97,897,0,3,0.03125,0.456,34.75349187,9:01:01,go change in WC
104,105,897,0,3,0.01953125,0.455,34.75349187,9:01:02,go change in WC
105,106,897,0,3,0.0234375,0.456,34.75349187,9:01:03,go change in WC
106,106,856,0,3,0.0234375,0.46,34.75349187,9:01:04,go change in WC
107,106,856,0,3,0.015625,0.463,34.75349187,9:01:05,go change in WC
108,106,883,0,3,0.015625,0.463,34.72901778,9:01:06,go change in WC
109,103,883,0,3,0.03125,0.456,34.75349187,9:01:07,go change in WC
110,103,883,0,3,0.0234375,0.46,34.77797424,9:01:08,go change in WC
111,111,911,0,3,0.21875,0.452,34.77797424,9:01:09,go change in WC
112,115,911,0,3,0.16015625,0.452,34.75349187,9:01:10,go change in WC
113,115,1727,0,3,0.2421875,0.451,34.75349187,9:01:11,go change in WC
114,131,1727,0,3,0.16015625,0.456,34.75349187,9:01:12,go change in WC
115,131,1727,0,3,0.046875,0.444,34.75349187,9:01:13,go change in WC
116,131,1727,0,3,0.02734375,0.452,34.77797424,9:01:14,go change in WC
117,131,829,0,3,0.01953125,0.46,34.77797424,9:01:15,go change in WC
118,140,829,0,3,0.01953125,0.471,34.77797424,9:01:16,go change in WC
119,144,829,0,3,0.01953125,0.439,34.77797424,9:01:17,go change in WC
120,144,707,0,3,0.0234375,0.456,34.77797424,9:01:18,go change in WC
121,135,707,0,3,0.03125,0.467,34.77797424,9:01:19,go change in WC
122,138,707,0,3,0.23828125,0.46,34.77797424,9:01:20,go change in WC
123,145,707,0,3,0.12109375,0.463,34.77797424,9:01:21,go change in WC
124,135,2488,0,3,0.046875,0.463,34.77797424,9:01:22,go change in WC
125,135,2488,0,3,0.0703125,0.48,34.80246489,9:01:23,go change in WC
126,135,2488,0,3,0.05078125,0.479,34.77797424,9:01:24,go change in WC
127,134,2488,0,3,0.140625,0.488,34.77797424,9:01:25,go change in WC
128,136,2488,0,3,0.15625,0.484,34.75349187,9:01:26,go change in WC
129,136,802,0,3,0.109375,0.483,34.77797424,9:01:27,go change in WC
130,136,516,0,3,0.03515625,0.5,34.77797424,9:01:28,go change in WC
131,136,516,0,3,0.015625,0.484,34.75349187,9:01:29,go change in WC
132,128,516,0,3,0,0.479,34.77797424,9:01:30,go change in WC
133,122,516,0,3,0.015625,0.488,34.77797424,9:01:31,go change in WC
134,119,843,0,3,0,0.488,34.77797424,9:01:32,go change in WC
135,113,843,0,3,0.0234375,0.5,34.82696385,9:01:33,go change in WC
136,113,843,0,3,0.17578125,0.507,34.80246489,9:01:34,go change in WC
137,113,2325,0,3,0.16015625,0.42,34.77797424,9:01:35,go change in WC
138,113,2325,0,3,0.046875,0.415,34.77797424,9:01:36,go change in WC
139,110,1128,0,3,0.04296875,0.412,34.75349187,9:01:37,go change in WC
140,98,1128,0,3,0.03125,0.423,34.77797424,9:01:38,go change in WC
141,98,1128,0,3,0.02734375,0.42,34.77797424,9:01:39,go change in WC
